Names2,Taxon,Section,Distribution,Style condition1,Style condition2,Style condition 3,Life History
Re_indica,Reinwardtia indica,Outgroup,"Afganistan, Pakistan",1,1,1,1
T_sinensis,Tirpitzia sinensis,Outgroup,China,1,1,1,1
A_pubescens,Anisadenia pubescens,Outgroup,China,0,0,0,1
L_velutinum,L. velutinum,Syllinum,Iraq,?,?,?,1
L_mucronatum2,L. mucronatum B,Syllinum,Turkey,1,1,1,1
L_mucronatum1,L. mucronatum A,Syllinum,Turkey,1,1,1,1
L_syriacum,L. syriacum,Syllinum,Syria,?,?,?,1
L_album,L. album,Syllinum,"India, Iran",1,1,1,1
L_triflorum,L. triflorum,Syllinum,Turkey,1,1,1,1
L_flavum,L. flavum,Syllinum,N. E. Med.,1,1,1,1
L_elegans,L. elegans,Syllinum,Greece,1,1,1,1
L_arboreum,L. arboreum,Syllinum,"Turkey, Greece",1,1,1,1
L_cariense,L. cariense ,Syllinum,Turkey,?,?,?,1
L_campanulatum,L. campanulatum,Syllinum,"Spain, France, Italy",1,1,1,1
L_aretioides,L. aretioides ,Syllinum,Turkey,1,1,1,1
L_capitatum,L. capitatum ,Syllinum,Italy,1,1,1,1
L_tauricum,L. tauricum,Syllinum,Turkey,1,1,1,1
L_gyaricum,L. gyaricum ,Syllinum,Greece,1,1,1,1
L_nodiflorum,L. nodiflorum,Syllinum,"Turkey, Italy",5,2,0,0
L_maritimum,L. maritimum,Linopsis,"Spain, Italy",1,1,1,1
L_mumbyanum,L. mumbyanum,Linopsis,Morocco,1,1,1,1
L_numidicum,L. numidicum,Linopsis,Morocco,1,1,1,1
L_subasperifolium,L. subasperifolium,Linopsis,Morocco,1,1,1,0
L_tenue2,L. tenue B,Linopsis,Morocco,1,1,1,0
L_tenue1,L. tenue A,Linopsis,Morocco,1,1,1,0
L_trigynum,L. trigynum,Linopsis,Cosmopolitan,0,0,0,0
L_corymbulosum,L. corymbulosum,Linopsis,Greece,0,0,0,0
L_catharticum,L. catharticum,Cathartolinum,N. Med.,0,0,0,0
L_setaceum,L. setaceum,Linopsis,"Spain, Portugal, Morocco",0,0,0,0
L_setaceum_Het,L. floscarminii,Linopsis,Morocco,1,1,1,0
L_suffruticosum1,L. suffruticosum A,Linopsis,Spain,7,1,1,1
L_tenuifolium2,L. tenuifolium B,Linopsis,Turkey,4,0,0,1
L_tenuifolium1,L. tenuifolium A,Linopsis,Spain,4,0,0,1
L_suffruticosum2,L. suffruticosum B,Linopsis,Italy,7,1,1,1
